投稿日,1枚目画像説明,2枚目画像説明,3枚目画像説明,キャプション,ハッシュタグ
2025-10-22,オフラインイベントの様子,秋田県内のイベント,参加者の交流,"【サービス②オフラインイベント🎉】

📅月に1回程度開催
📍秋田県内で実施
🤝実際に会って交流
🎨特別なワークショップ

オンラインとオフラインのハイブリッド！",#オフラインイベント #秋田 #交流 #ワークショップ #イベント
2025-10-24,教育相談の様子,専門スタッフ,保護者との対話,"【サービス③教育相談👨‍👩‍👧】
保護者向けサポート

👨‍🏫専門スタッフが個別相談
📚学習状況や進路について
🏠家庭でのサポート方法もアドバイス

お子様の成長を一緒に支えます",#教育相談 #保護者 #サポート #進路 #個別相談
2025-10-26,案件作業の様子,報酬画面,成長する生徒,"【サービス④案件割振💼】
実践的な仕事体験

📊レベルに応じて案件を割り振り
💰報酬を得ながらスキル習得
👨‍🏫メンターがサポート

安心して挑戦できます！",#案件 #仕事体験 #報酬 #実践的 #メンター #サポート
2025-10-28,起業準備の様子,ビジネスプラン,独立支援イメージ,"【サービス⑤独立サポート🚀】
将来の起業・独立を支援

📝ビジネスプラン作成
💰資金調達まで総合サポート
🎯夢を実現する道筋

あなたの起業を応援します！",#起業 #独立 #ビジネス #サポート #夢 #実現
2025-10-30,AI先生の画面,質問対応の様子,24時間学習,"【サービス⑥AI先生🤖】
24時間質問可能

⏰いつでも質問できる
📊個人のレベルに合わせた学習
⚡最新のAI技術を活用

あなただけの最適な学習を提供！",#AI先生 #24時間 #質問 #最新技術 #個別学習
2025-11-01,Quest1動画編集画面,編集ソフト,完成動画,"【Quest①動画編集🎬】
if(チャレンジ)forビギナー

✂️カット、エフェクト、BGM追加
🎥基本的な動画編集技術を習得
🌟オリジナル動画を作成

まずはここからスタート！",#動画編集 #初心者 #ビギナー #スキル #クエスト
2025-11-03,マインクラフト建築,建築物の例,創造的な作品,"【Quest②マインクラフト建築🏗️】

🎮創造力を発揮
🏛️自分だけの建築物を作成
📚基本から応用まで学習

楽しく学べるクエスト！",#マインクラフト #建築 #創造力 #ゲーム #学習
2025-11-05,プログラミング画面,ビジュアルプログラミング,ゲーム制作,"【Quest③プログラミング基礎💻】

🎮ゲーム感覚で学習
🧠論理的思考を身につける
📖ビジュアルプログラミングから開始

プログラミングの基本を楽しく！",#プログラミング #基礎 #初心者 #論理的思考 #ビジュアル
2025-11-07,デジタルアート作品,制作過程,ツール画面,"【Quest④デジタルアート🎨】

🖌️イラストやアート作品を制作
💡創造性を発揮
🖥️デジタル技術を習得

あなたの感性を形に！",#デジタルアート #イラスト #アート #創造性 #制作
2025-11-09,3Dモデリング画面,3D作品,制作ツール,"【Quest⑤3Dモデリング🎭】

🔲立体的な作品を作成
🧠空間認識能力を養う
🆕新しい表現方法を学習

次元を超えた創作体験！",#3Dモデリング #3D #立体 #空間認識 #制作
2025-11-11,総合プロジェクト,完成作品,制作過程,"【Quest⑥総合プロジェクト🏆】

🎯これまでの技術を組み合わせ
✨オリジナル作品を完成
📋企画から完成まで一連の体験

あなたの集大成を形に！",#総合プロジェクト #完成 #作品 #オリジナル #集大成
2025-11-13,塾頭高崎翔太の写真,臨床心理士の経歴,子どもたちとの様子,"【運営メンバー①塾頭👨‍🏫】
高崎翔太

元臨床心理士の経験豊富なメンター
🎓難関大学進学支援の実績
💪子どもたちの可能性を開く

あなたの成長をサポートします！",#塾頭 #メンター #臨床心理士 #経験豊富 #サポート
2025-11-15,塾長山﨑琢己の写真,起業の様子,授業風景,"【運営メンバー②塾長🎓】
山﨑琢己

高校1年でIT会社を起業！
🤖AI開発や講演も実施
🏫中学時代は支援級から国立大学合格

若きイノベーター！",#塾長 #起業家 #AI開発 #高校生 #イノベーター #国立大学
2025-11-17,CFO加賀屋結眞の写真,マーケティングの様子,プレゼン風景,"【運営メンバー③CFO💼】
加賀屋結眞

高校1年でIT会社を起業！
📢マーケティングコンサルタント
🎤ホリエモンにプレゼン経験あり

チャレンジャー！",#CFO #起業家 #マーケティング #高校生 #チャレンジ
2025-11-19,CTO井上陽斗の写真,マインクラフト開発画面,システム開発の様子,"【運営メンバー④CTO👨‍💻】
井上陽斗

未経験からスタートし開発の達人に！
🎮マインクラフトワールド全開発
💡天才的なアイデアを次々と

頼れる開発者！",#CTO #プログラマー #開発 #マインクラフト #天才 #高校生
2025-11-21,Y君の写真,格闘ゲーム画面,優勝の瞬間,"【運営メンバー⑤専属プレイヤー🎮】
Y君

わずか数ヶ月でトップクラスの実力！
🏆県内大学大会最年少優勝
📺YouTubeやTwitch配信中

期待のアスリート！",#eスポーツ #プロゲーマー #格闘ゲーム #優勝 #配信
2025-11-23,秋田若者チャレンジロゴ,採択通知,if(塾)の活動,"【お知らせ①🎉】
秋田若者チャレンジに採択されました！

if(塾)の取り組みが認められました
🌟地域に貢献する活動
💪これからも頑張ります！

応援よろしくお願いします！",#秋田 #若者チャレンジ #採択 #地域貢献 #活動
2025-11-25,news every.放送画面,テレビ取材の様子,放送内容,"【お知らせ②📺】
news every.にて紹介されました！

if(塾)の活動がテレビで特集
🎥取材を受けました
🌟多くの方に知っていただけました

ありがとうございました！",#テレビ #newsevery #取材 #放送 #紹介
2025-11-27,CNAし〜なチャン放送画面,ローカルテレビ取材,特集内容,"【お知らせ③📺】
CNAし〜なチャンにて紹介されました！

ローカルテレビで特集
📹詳しく活動を紹介
🌟地域の皆様に感謝

これからも頑張ります！",#ローカルテレビ #CNA #特集 #秋田 #放送
2025-11-29,アケコン自作の様子,制作過程,完成品,"【お知らせ④🎮】
ある日の日常〜アケコン自作〜

塾生がアーケードコントローラーを自作！
🔧ものづくりの楽しさ
💡創造力を発揮

日々成長しています！",#アケコン #自作 #ものづくり #創造力 #日常
2025-12-01,塾長の写真,支援級の様子,国立大学,"【お知らせ⑤🎓】
中学特別支援学級から国立大学へ

塾長の体験談
💪努力と挑戦の物語
🌟可能性は無限大

あなたも夢を叶えられる！",#体験談 #支援級 #国立大学 #夢 #可能性 #塾長
2025-12-03,なるテックイベント,横手市イベント会場,参加者との交流,"【お知らせ⑥🎉】
横手市でイベント参加！

なるテック様と共に
🤝地域との交流
💡テクノロジーイベント

地域に根ざした活動を！",#横手市 #イベント #地域 #交流 #テクノロジー
2025-12-05,藤野英人様,投資勉強会の様子,参加者,"【お知らせ⑦💰】
投資の勉強会を開催！

藤野英人様をお招きし
📊秋田県とEO North Japan様と共に
💡投資について学習

貴重な経験でした！",#投資 #勉強会 #藤野英人 #秋田県 #学習
2025-12-07,eスポーツ大会会場,ストリートファイター6画面,優勝の瞬間,"【お知らせ⑧🏆】
eスポーツ大会優勝！

ノースアジア大学で開催
🎮ストリートファイター6
👑塾頭とY君が優勝

おめでとうございます！",#eスポーツ #大会 #優勝 #ストリートファイター6 #ノースアジア大学
2025-12-09,YouTubeチャンネル画面,動画サムネイル,チャンネル登録ボタン,"【YouTube配信中📺】

if(塾)の日常や授業風景を公開中
🎥Y君プロゲーマーへの道
📚教材動画も充実

チャンネル登録お願いします！
プロフィールリンクから！",#YouTube #動画 #配信 #チャンネル #授業 #教材
2025-12-11,if(塾)漫画1ページ目,主人公の悩み,if(塾)との出会い,"【if(塾)でキミもパワーUP！①📖】

漫画で分かるif(塾)
📚ストーリー形式で紹介
😊分かりやすく楽しい

続きはプロフィールから！",#漫画 #if塾 #ストーリー #紹介 #分かりやすい
2025-12-13,if(塾)漫画中盤,成長する主人公,スキルアップの様子,"【if(塾)でキミもパワーUP！②📖】

主人公の成長物語
💪スキルアップ
😊仲間との出会い

あなたも成長できる！",#漫画 #成長 #スキルアップ #仲間 #物語
2025-12-15,if(塾)漫画完結,主人公の成功,明るい未来,"【if(塾)でキミもパワーUP！③📖】

ついに完結！
🎉主人公の成功
🌟明るい未来へ

あなたも一歩踏み出しませんか？
体験授業申し込み受付中！",#漫画 #完結 #成功 #未来 #体験授業
2025-12-17,メッセージ用紙,塾頭と塾長のサイン,if(メッセージ)全文,"【if(メッセージ)💌】

塾頭・塾長からのメッセージ
🌟現代は変化の時代
💪行動すれば世界は変わる
🚀まずは一歩を踏み出そう

if(塾)で可能性を最大限に！",#メッセージ #塾頭 #塾長 #変化 #行動 #可能性
2025-12-19,AI導入サポート画像,企業での導入事例,サポート風景,"【仕事のご依頼①💼】
AI導入サポート

最新AIを事業に合わせて導入
🤖使えるまで支援
⚡最速で最大の効果

企業様のDXを支援します！",#AI導入 #サポート #企業 #DX #最新技術
2025-12-21,システム開発画像,Web開発,ゲーム開発,"【仕事のご依頼②💻】
システム開発

売上拡大・業務効率化・ブランディング
🌐Web、ゲーム、システム開発
🎯用途に合わせて開発

お気軽にご相談ください！",#システム開発 #Web開発 #ゲーム開発 #業務効率化
2025-12-23,ICT戦略資料,広報戦略図,AI活用事例,"【仕事のご依頼③📊】
ICT戦略立案

AIを効率的に活用
📢広報戦略を詳細に立案
💡最適なソリューション提供

詳しくはプロフィールから！",#ICT戦略 #広報 #AI活用 #戦略立案 #ソリューション
2025-12-25,Kitazunaゲーム画面,秋田県マップ,キャラクター,"【Kitazuna①🎮】
未来杉の守護者

秋田県全域を舞台にしたRPG
🎌伝統文化がテーマ
👦杉野健太の冒険

現在開発中！お楽しみに！",#Kitazuna #ゲーム #RPG #秋田 #伝統文化
2025-12-27,緒方孝治氏デザイン,くにおくん風グラフィック,最新技術との融合,"【Kitazuna②🎨】
緒方孝治氏デザイン

熱血硬派くにおくんシリーズデザイナー
🎨グラフィックと最新の融合
✨懐かしくて新しい

注目のデザイン！",#Kitazuna #デザイン #緒方孝治 #くにおくん #グラフィック
2025-12-29,秋田の伝統文化,二次創作自由,独自ゲーム開発例,"【Kitazuna③🎌】
秋田県の伝統と未来

二次創作自由
🎮独自のゲームも開発可能
🏪ゲーム内キャラで製品開発も

クリエイティブの可能性無限大！",#Kitazuna #二次創作 #秋田 #伝統 #未来
2025-12-31,ゲーム内ショップ,商品販売,マネタイズ例,"【Kitazuna④💰】
ゲーム内で実際に稼ぐ

キャラクター商品開発
🏪商品を売ってマネタイズ
💵実際に収益化

ゲームで稼ぐ体験を！",#Kitazuna #マネタイズ #稼ぐ #ゲーム内ショップ #収益化
2026-01-02,NPOロゴ,秋田市の風景,支援イメージ,"【NPO法人if(AI)①🤝】
地域と共に歩む就労支援

秋田市の若者・障がい者の皆様へ
🌟AIと地域の力で新しい未来
💪温かい支援

詳しくはプロフィールから！",#NPO #就労支援 #秋田市 #AI #地域 #温かい
2026-01-04,フリースクール,不登校の子どもたち,学習風景,"【NPO法人if(AI)②📚】
不登校支援

フリースクールと連携
👦一人ひとりの学習スタイル
🏠自分のペースで学べる

安心の環境を提供！",#NPO #不登校支援 #フリースクール #学習 #安心
2026-01-06,A型事業所,職場環境,働く様子,"【NPO法人if(AI)③💼】
障がい者就労支援

A型事業所や地元企業と協力
💪個々の能力を最大限に活かす
🌟あなたの強みが輝く場所

一緒に見つけましょう！",#NPO #障がい者支援 #就労支援 #A型事業所 #秋田
2026-01-08,商工会議所,地元企業,マッチング支援,"【NPO法人if(AI)④👨‍💼】
若者自立支援

商工会議所と連携
🤝地元企業とマッチング
🌾秋田で働き、秋田で生きる

地域に根ざした支援！",#NPO #若者支援 #自立支援 #商工会議所 #地元企業
2026-01-10,お問い合わせフォーム,LINE公式,体験授業申し込み,"【各種お問い合わせ📧】

✉️お問い合わせフォーム
📱LINE公式アカウント
🎓体験授業申し込み

お気軽にお問い合わせください！
プロフィールリンクから！",#お問い合わせ #LINE #体験授業 #申し込み #相談
2026-01-12,料金表,月額11000円,サービス一覧,"【料金について💰】
月額11,000円（税込）〜

✨週1回の授業
🌐常時ワールド開放
💬日々のチャットサポート
📚入会費・教材費不要

週の回数を増やす場合は1回11,000円追加！",#料金 #月額 #サブスク #11000円 #お得
2026-01-14,体験授業の様子,参加者の笑顔,楽しい雰囲気,"【無料体験授業受付中🎓】

まずは体験してみませんか？
🆓完全無料
🌐オンラインで参加
😊気軽にお試し

プロフィールリンクから申し込み！",#無料体験 #体験授業 #無料 #お試し #申し込み
2026-01-16,Discord画面,ビデオオフOK,自由な参加スタイル,"【参加スタイル自由🎥】

カメラオフで参加OK！
📹ビデオオフOK
🍕食べながらでも
💃踊りながらでも

自由に参加できます！",#Discord #カメラオフ #自由 #参加 #オンライン
2026-01-18,PC必要環境,java版マインクラフト,推奨スペック,"【体験に必要なもの💻】

お子様が使えるPC
📱Discord
🎮java版マインクラフト

詳しくはお申し込み後のメールで！
プロフィールリンクから！",#PC #Discord #マインクラフト #必要なもの #体験
2026-01-20,全国マップ,オンライン参加者,地方からの参加,"【全国どこからでも🌏】

遠隔・全国対応
🌐オンラインで参加可能
🏠自宅から学習
🌾地方でも都市部でも

場所を選ばず学べます！",#全国対応 #遠隔 #オンライン #地方 #自宅学習
2026-01-22,メンターサポート,個別指導,質問対応,"【メンターサポート👨‍🏫】

経験豊富なメンターが全力サポート
💪個別指導
💬いつでも質問OK
🎯目標達成まで伴走

あなたの成長を支えます！",#メンター #サポート #個別指導 #質問 #全力
2026-01-24,仲間との交流,協力作業,コミュニティ,"【仲間と一緒に🤝】

同じ目標を持つ仲間と学習
👫交流しながら成長
🎮協力しながら制作
😊楽しいコミュニティ

一人じゃないから頑張れる！",#仲間 #交流 #コミュニティ #協力 #楽しい
2026-01-26,成長グラフ,before/after,成果,"【生徒の成長📈】

if(塾)で大きく成長！
💪スキルアップ
🌟自信がつく
🎯目標達成

あなたも成長できる！",#成長 #スキルアップ #自信 #目標達成 #成果
2026-01-28,保護者の声,感想,推薦コメント,"【保護者様の声👨‍👩‍👧】

「子どもが楽しく学んでいます」
「自分から勉強するようになった」
「将来の夢ができました」

多くのご家庭から喜びの声！",#保護者 #感想 #声 #推薦 #喜び
2026-01-30,卒業生,進路実績,成功事例,"【卒業生の進路🎓】

国立大学合格
起業成功
IT企業就職

if(塾)から未来へ！
あなたも続こう！",#卒業生 #進路 #実績 #成功 #未来
