表紙画像説明,表紙テキストエリア1,表紙テキストエリア2,内容1画像説明,内容1テキストエリア1,内容1テキストエリア2,内容2画像説明,内容2テキストエリア1,内容2テキストエリア2,内容3画像説明,内容3テキストエリア1,内容3テキストエリア2,投稿のテキスト+ハッシュタグ
"日本人の若者がアーケードコントローラーを自作している様子、電子部品と工具、ものづくりの楽しさ、集中した表情、創造的な作業","ものづくり","自分で\n作る\n喜び","日本人の若者が回路設計をしている様子、配線図、技術的な知識、電子工作のスキル、論理的思考を働かせる表情、緻密な作業","設計\nと組立","技術力を\n磨く\n実践","日本人の若者が完成したアケコンでゲームをプレイしている様子、満足そうな表情、自作の成果、達成感、好きなものを作る喜び","完成\nの喜び","自分の\n手で\n作った\nものを\n使う","日本人の若者が次の自作プロジェクトを考えている様子、新しいアイデア、創作意欲、スキルアップへの期待、楽しそうな表情、未来への展望","次の\n創作へ","スキルを\n活かして\n新たな\nものを","if(塾)のメンバーはアーケードコントローラーを自作しました。電子工作のスキルを活かし、設計から組み立てまで全て自分たちの手で。ものづくりの喜びと技術力を磨く実践的な学び。好きなものを自分で作る経験は、創造力と問題解決力を育てます。
#ものづくり #電子工作 #アケコン #自作 #技術力 #if塾"
"日本人の子どもが不登校で悩んでいる様子、暗い部屋、落ち込んだ表情、心の葛藤、孤独感が伝わる構図、優しい照明","不登校\nでも","大丈夫\nあなたの\nペースで","日本人の子どもがオンラインで楽しく学んでいる様子、明るい表情、自宅のリラックスした環境、安心した雰囲気、笑顔が戻る瞬間","第三の\n居場所","学校でも\n家でもない\n安心の\n場所","日本人の子どもがマインクラフトで仲間と交流している様子、楽しそうな表情、チャットやボイス、心が開かれる瞬間、温かいコミュニティ","仲間\nとつながる","オンライン\nでも\n本当の\n絆を","日本人の子どもが自信を取り戻して前を向いている様子、希望に満ちた表情、成長の証、笑顔、未来への一歩、明るい光が差す構図","自分の\n道を","あなたらしく\n生きる\n場所が\nここに","if(塾)は塾頭高崎(臨床心理士)が中心となり、不登校の子どもたちにとって第三の居場所を提供しています。学校に行けなくても大丈夫。オンラインで自分のペースで学び、仲間とつながることができます。心理士のサポートもあり、安心して過ごせる環境。あなたらしく成長できる場所がここにあります。
#不登校 #第三の居場所 #オンライン #安心 #心理サポート #if塾"
"日本人の心理士高崎が子どもの情緒を理解しようとしている様子、カウンセリング風景、温かい雰囲気、寄り添う姿勢、信頼関係が伝わる構図","情緒\nを理解","感情に\n寄り添う\nサポート","日本人の子どもが感情を表現している様子、泣いたり笑ったり、自然な感情表出、受け入れられる安心感、温かい環境","感情\nを出す","表現\nしても\n大丈夫","日本人の心理士高崎が感情調整のスキルを教えている様子、ワークシート、具体的な方法、優しい指導、実践的なサポート、学びの場面","調整\nスキル","感情と\n上手に\n付き合う\n方法","日本人の子どもが穏やかな表情で過ごしている様子、心の安定、成長の証、笑顔、前向きな姿勢、希望に満ちた表情、明るい未来","心の\n安定","情緒の\n成長を\n支える","情緒面のサポートもif(塾)の大切な役割です。塾頭高崎(臨床心理士)が子どもの感情に寄り添い、自然な表現を受け入れます。感情調整のスキルを教え、心の安定をサポート。情緒の発達を促し、自己理解を深めることで、健やかな成長を支えます。
#情緒サポート #心理士 #感情調整 #心の成長 #自己理解 #if塾"
"日本人の子どもがAI先生とチャットしている様子、パソコン画面、質問と回答のやりとり、24時間対応、便利な学習環境、集中した表情","AI\n先生","24時間\nいつでも\n質問できる","日本人の子どもが深夜に勉強している様子、夜の自室、AI先生に質問、時間を気にせず学習、自分のペースで、集中できる環境","夜でも\nOK","自分の\nリズムで\n学べる","日本人のAI先生が個別最適化された学習内容を提案している画面、データ分析、パーソナライズ、効率的な学習、最先端技術","個別\n最適化","あなただけの\n学習\nプラン","日本人の子どもがAI先生のサポートで理解を深めている様子、納得した表情、学習の成果、スキルアップ、効率的な学び、満足そうな顔","理解\nが深まる","最新技術で\n学習効率\nアップ","塾長山﨑が開発したif(塾)のAI先生は24時間質問に答えてくれます。夜遅くでも早朝でも、自分のペースで学習可能。個別最適化された学習プランで効率的にスキルアップ。最新のAI技術を活用し、一人ひとりに合わせた学びを提供します。いつでもあなたの学習をサポート。
#AI先生 #24時間 #個別最適化 #効率的学習 #最新技術 #if塾"
"日本人の若者山﨑が若者チャレンジの採択通知を受け取って喜んでいる様子、通知書、達成感、努力が認められた瞬間、仲間と祝福、希望に満ちた表情","若者\nチャレンジ","採択\nされました","日本人の若者山﨑が200万円の支援金について説明している様子、プレゼンテーション、事業計画書、審査を通過した証、自信に満ちた表情","200万円\nの支援","事業が\n認められた\n証","日本人の若者がプロジェクトを進めている様子、活動の実践、仲間と協力、事業の展開、成長し続ける姿、前向きな雰囲気","プロジェクト\n始動","支援を\n受けて\n本格始動","日本人の若者が地域に貢献している様子、イベント開催、子どもたちとの交流、社会への還元、感謝される場面、温かい雰囲気","地域\n貢献","秋田から\n未来を\n創る","塾長山﨑の提案により、if(塾)は秋田県の若者チャレンジ応援事業に採択され、200万円の支援を受けました。プレゼン審査ではマインクラフトでスライドを作成し、革新的なアプローチが評価されました。この支援を活かし、地域の子どもたちの未来を創る活動を本格展開しています。
#若者チャレンジ #採択 #秋田県 #支援 #地域貢献 #if塾"
"日本人の起業家山﨑が事業計画を説明している様子、ホワイトボードにアイデア、戦略とビジョン、情熱的な表情、ビジネスマインド、プレゼンテーション","起業の\n道","夢を\nビジネスに\n変える","日本人の若者が市場調査をしている様子、データ分析、パソコンとグラフ、論理的思考、リサーチスキル、真剣な表情、調査資料","市場\n調査","ニーズを\n見つける\n力","日本人の起業家山﨑がピッチイベントで発表している様子、投資家の前、プレゼンテーション、自信に満ちた態度、説得力のある説明、緊張と期待","ピッチ\n練習","伝える\n力を\n磨く","日本人の若者が事業を成功させて喜んでいる様子、売上グラフ、達成感、成長の証、仲間と祝福、夢が実現した瞬間、希望に満ちた表情","事業\n成功","努力が\n形に\nなる\n瞬間","if(塾)では起業家教育にも力を入れています。アイデアの発想から事業計画の作成、市場調査、ピッチまで実践的に学びます。塾長自身が高校生で起業した経験を活かし、リアルなビジネスを教えます。夢をビジネスに変える力を身につけましょう。
#起業 #ビジネス #起業家教育 #実践的 #夢の実現 #if塾"
"日本人の子どもがプログラミングのコードを書いている様子、カラフルなコードエディタ、集中した表情、論理的思考、学習意欲が伝わる構図","プログラミング\n基礎","論理的\n思考を\n育てる","日本人の子どもがビジュアルプログラミングで簡単なゲームを作っている様子、ブロックを組み合わせ、楽しい学習、創造性、達成感のある表情","ビジュアル\nプログラミング","楽しく\n学べる\n入門編","日本人の子どもがPythonでコードを書いている様子、テキストコード、本格的なプログラミング、スキルアップ、真剣な表情、成長の過程","Python\n学習","本格的な\n言語に\n挑戦","日本人の子どもが自作のプログラムを動かして喜んでいる様子、完成したアプリ、達成感、プログラミングの楽しさ、自信に満ちた笑顔、未来の可能性","プログラム\n完成","自分で\n作った\nものが\n動く喜び","プログラミング学習はif(塾)の基本です。塾長山﨑とCTO井上の指導のもと、ビジュアルプログラミングから始めて、Pythonなど本格的な言語まで段階的に学びます。論理的思考を育て、創造力を形にする力を身につけます。自分でプログラムを作り、動かす喜びを体験しましょう。
#プログラミング #Python #論理的思考 #コーディング #学習 #if塾"
"日本人の子どもがチームでプロジェクトを進めている様子、協力して作業、意見交換、コミュニケーション、楽しそうな雰囲気、仲間との絆","協働\n学習","仲間と\n一緒に\n成長","日本人の子どもがオンラインで役割分担している様子、Discordの画面、チームワーク、組織的な活動、責任感が育つ場面","役割\n分担","それぞれの\n強みを\n活かす","日本人の子どもたちが共同作品を完成させた瞬間、達成感、仲間との喜び、協力の成果、大きな作品、満足そうな表情、絆が深まる","共同\n作品","みんなで\n作る\n大きな\n成果","日本人の子どもたちが次のプロジェクトを企画している様子、アイデア出し、ワクワクする表情、チームの絆、協力の楽しさ、明るい未来への期待","次の\n挑戦","仲間と\nさらなる\n高みへ","if(塾)では協働学習を大切にしています。オンラインでもチームで協力し、プロジェクトを進める経験ができます。役割分担、コミュニケーション、協力の大切さを学びます。仲間と一緒に大きな成果を作り上げる喜びを体験し、社会で活きる力を育てます。
#協働学習 #チームワーク #コミュニケーション #仲間 #プロジェクト #if塾"
"日本人の生徒がポートフォリオサイトを作成している様子、自分の作品を展示、ウェブデザイン、HTMLとCSS、プロフェッショナルな作品集","ポートフォリオ","作品を\n形に\n残す","日本人の生徒が自分の実績をまとめている様子、プロジェクト一覧、スキルの証明、就職活動の準備、将来への投資、自信に満ちた表情","実績\nを残す","あなたの\n成長の\n証","日本人の生徒がGitHubに作品を公開している様子、コードのリポジトリ、オープンソース、技術力の証明、プログラマーとしての第一歩","GitHub\nで公開","世界に\n向けて\n発信","日本人の生徒がポートフォリオを見せて誇らしげな表情、将来への自信、スキルの可視化、就職や進学への武器、達成感、明るい未来","将来の\n武器","スキルを\n証明する\n資産","if(塾)ではCTO井上や塾長山﨑の指導のもと、ポートフォリオ作成をサポートします。自分の作品や実績を形に残し、スキルを可視化することで、将来の進路に活かせます。GitHubでの公開方法も学び、世界に向けて発信。あなたの成長の証を作り、将来への大きな武器にしましょう。
#ポートフォリオ #作品集 #実績 #GitHub #将来 #if塾"
"日本人の子どもがデジタルイラストを描いている様子、ペンタブレット、カラフルな絵、創造性、芸術的な表現、集中した表情、楽しそうな雰囲気","デジタル\nアート","表現力を\n磨く","日本人の子どもがピクセルアートを作成している様子、ドット絵、レトロな雰囲気、細かい作業、創造的な活動、満足そうな表情","ピクセル\nアート","ドット絵で\nキャラクター\n制作","日本人の子どもが完成したアート作品を見せている様子、カラフルな作品、芸術的センス、達成感、個性が光る表現、自信に満ちた笑顔","作品\n完成","自分の\n個性を\n表現","日本人の子どもがアート作品で報酬を得ている様子、イラスト案件、クリエイティブな仕事、好きを活かす、芸術が仕事になる喜び、満足そうな表情","アートで\n稼ぐ","好きな\nことが\n仕事に\nなる","デジタルアートもif(塾)で学べます。ピクセルアート、イラスト制作など、創造性を発揮できる分野。表現力を磨き、個性を活かした作品を作ります。if(チャレンジ)でアート案件にも挑戦でき、好きなことを仕事にする経験ができます。
#デジタルアート #イラスト #ピクセルアート #創造性 #表現力 #if塾"
"日本人の家族が子どもの成長を喜んでいる様子、温かい家庭、笑顔の親子、安心した雰囲気、見守る保護者、優しい照明、幸せな時間","保護者\nの声","子どもが\n変わりました","日本人の保護者が満足そうに話している様子、感謝の気持ち、成長の実感、信頼関係、安心した表情、肯定的な評価、温かい雰囲気","スキル\nアップ","自信が\nついて\n積極的に","日本人の子どもが将来の夢を語っている様子、希望に満ちた表情、目標、前向きな姿勢、親の喜び、成長の証、明るい未来への期待","将来の\n夢","目標が\nできて\n生き生きと","日本人の家族が一緒に喜んでいる様子、幸せな瞬間、成長の喜び、家族の絆、感謝の気持ち、温かい雰囲気、希望に満ちた表情、笑顔","ありがとう\nif塾","家族で\n喜べる\n成長","保護者の皆様から嬉しい声をいただいています。「子どもが自分から学ぶようになった」「自信がついた」「将来の夢ができた」など、成長を実感する声が多数。お子様の変化を一緒に喜び、成長を支えることがif(塾)の使命です。
#保護者の声 #成長 #変化 #自信 #将来の夢 #if塾"
"日本人の若者がテレビ取材を受けている様子、カメラとマイク、インタビュー風景、メディアの注目、社会的な認知、真剣な表情、取材対応","メディア\n掲載","活動が\n注目\nされています","日本人のニュースキャスターがif(塾)を紹介している様子、テレビ画面、ニュース番組、news every.のロゴ、広く知られる機会、社会的影響","news\nevery.","全国\nネットで\n紹介","日本人の地元メディアが取材している様子、CNAし〜なチャンの取材、地域密着、ローカルニュース、地元の応援、親しみやすい雰囲気","地元\nメディア","秋田から\n全国へ\n発信","日本人の若者がメディア掲載を喜んでいる様子、達成感、社会的認知、活動の広がり、応援される嬉しさ、自信に満ちた表情、感謝の気持ち","認知度\nアップ","多くの\n方に\n知られる\n喜び","if(塾)の活動は多くのメディアで紹介されています。news every.やCNAし〜なチャンなど、全国ネットから地元メディアまで幅広く取り上げられました。社会的な認知が広がり、より多くの子どもたちに学びの機会を提供できるようになりました。
#メディア掲載 #テレビ #newsevery #CNA #注目 #if塾"
"日本人の子どもが資格試験に合格して喜んでいる様子、合格証書、達成感、努力が実った瞬間、自信に満ちた笑顔、成長の証、家族も喜ぶ場面","資格\n取得","スキルの\n証明","日本人の子どもが検定試験の勉強をしている様子、教材とノート、集中した表情、目標に向かって努力、真剣な学習姿勢、成長への意欲","試験\n対策","目標に\n向かって\n努力","日本人の子どもが合格を仲間に報告している様子、嬉しそうな表情、みんなで祝福、達成の喜びを分かち合う、温かいコミュニティ、仲間との絆","みんな\nで祝福","喜びを\n分かち合う\n仲間","日本人の子どもが次の目標を見据えている様子、さらなる成長、向上心、新しい挑戦、前向きな姿勢、希望に満ちた表情、未来への期待","次の\n目標へ","成長は\n止まらない","if(塾)では資格取得もサポートします。プログラミング検定、ITパスポートなど、目標に向けて学習できます。合格すればスキルの証明になり、将来の進路に活かせます。仲間と一緒に目標を達成する喜びを味わい、さらなる成長を目指しましょう。
#資格取得 #検定 #目標達成 #スキル証明 #成長 #if塾"
"日本人の若者がイベントで横手市の方々と交流している様子、なるテック様との協力、地域イベント、笑顔の参加者、温かい雰囲気、地域との絆","横手市\nイベント","地域と\n共に\n成長","日本人の子どもたちがマインクラフトを体験させている様子、イベントブース、楽しそうな参加者、体験型イベント、子どもたちの笑顔、交流の場","体験\nイベント","多くの\n方に\n楽しさを\n伝える","日本人のイベントスタッフが説明している様子、丁寧な対応、来場者との対話、地域貢献の実践、やりがいのある活動、充実した表情","地域\n貢献","秋田全域で\n活動\n展開","日本人の参加者が満足そうな表情で帰っていく様子、イベントの成功、感謝される喜び、地域からの応援、絆が深まる、充実感のある表情、次への期待","次の\nイベントへ","地域の\n未来を\n共に\n創る","if(塾)はなるテック様と協力し、横手市でイベントに参加しました。多くの方にマインクラフトやプログラミングの楽しさを体験していただき、地域との絆を深めました。秋田全域で活動を展開し、地域の子どもたちの未来を共に創っていきます。
#横手市 #イベント #なるテック #地域貢献 #秋田 #if塾"
"日本人の大学生がTSUGUBA寮で講演している様子、TDK寮、大学生との交流、真剣に聞く参加者、学びの場、プレゼンテーション風景","大学\nイベント","大学生にも\n刺激を\n与える","日本人の大学生がマインクラフトを体験している様子、楽しそうな表情、新しい発見、大学生の興味、体験ブース、交流の輪が広がる","体験\nブース","多様な\n参加者と\n交流","日本人の若者が大学生と議論している様子、意見交換、刺激的な対話、世代を超えた交流、学び合い、知的な雰囲気、有意義な時間","議論\nと交流","世代を\n超えて\n学び合う","日本人の参加者が感謝している様子、イベントの成功、満足した表情、つながりの広がり、ネットワーキング、新しい出会い、希望に満ちた表情","つながり\nが広がる","新しい\n出会いと\n可能性","TDK寮TSUGUBAのイベントに参加し、多くの方にif(塾)のマインクラフトを体験していただきました。大学生との交流を通じて、世代を超えた学び合いが実現。新しいつながりが生まれ、活動の可能性がさらに広がりました。
#TSUGUBA #TDK寮 #大学 #イベント #交流 #if塾"
"日本人の若者山﨑がタイガーエンジェルの採択通知を受け取って喜んでいる様子、採択証書、ビジネスコンテスト、達成感、認められた喜び、自信に満ちた表情","タイガー\nエンジェル","採択\nされました","日本人の投資家と若者山﨑が握手している様子、ビジネスパートナー、支援者との出会い、信頼関係、期待される事業、プロフェッショナルな雰囲気","投資家\nとの出会い","ビジネスの\n可能性が\n広がる","日本人の若者山﨑がビジネスプランを練っている様子、戦略的思考、成長戦略、事業拡大の計画、真剣な表情、未来への投資、期待に満ちた雰囲気","事業\n拡大","支援を\n受けて\n加速する\n成長","日本人の若者が次のステージを見据えている様子、さらなる挑戦、大きな目標、起業家としての成長、希望に満ちた表情、明るい未来への期待","次の\nステージへ","夢を\nさらに\n大きく","塾長山﨑の起業家としての取り組みが評価され、if(塾)はタイガーエンジェルに採択されました。ビジネスコンテストで評価され、投資家からの支援を受けることに。この支援を活かして事業をさらに拡大し、より多くの子どもたちに学びの機会を提供していきます。夢をさらに大きく育てていきます。
#タイガーエンジェル #採択 #投資 #ビジネス #事業拡大 #if塾"
"日本人の若者がエキマイクのイベント会場にいる様子、秋田駅前、地域イベント、多くの来場者、賑やかな雰囲気、展示ブース、活気ある場面","エキマイク\n出展","秋田駅前で\n活動紹介","日本人の子どもたちが展示ブースでマインクラフトを体験している様子、楽しそうな表情、多くの来場者、体験型展示、交流の場、笑顔が広がる","体験\nブース","多くの\n来場者で\n賑わう","日本人のスタッフが来場者に説明している様子、丁寧な対応、if(塾)の紹介、興味を持つ来場者、コミュニケーション、活動の広がり","活動\n紹介","多くの\n方に\n知って\nいただく","日本人の来場者が満足そうに帰っていく様子、成功したイベント、地域からの注目、認知度アップ、応援の声、感謝の気持ち、次への期待","認知度\nアップ","秋田全域に\n広がる\n輪","if(塾)がエキマイクで紹介されました。秋田駅前の大型イベントで、多くの方に活動を知っていただく機会に。マインクラフト体験ブースも大盛況で、子どもたちの笑顔がたくさん見られました。地域での認知度が高まり、応援の輪が広がっています。
#エキマイク #秋田駅 #イベント #体験ブース #認知度 #if塾"
