id,動画場面1説明,動画場面1テキストエリア1,動画場面1テキストエリア2,動画場面2説明,動画場面2テキストエリア1,動画場面2テキストエリア2,動画場面3説明,動画場面3テキストエリア1,動画場面3テキストエリア2,投稿のテキスト,ハッシュタグ
11,ゲームコントローラーを握る手,格闘ゲーム,完全初心者から,eスポーツの試合会場,数ヶ月で,トップレベルに,優勝トロフィーを掲げるY君,専属eスポーツ,プレイヤー誕生,完全初心者から数ヶ月でトップレベルに！Y君の成長ストーリーです,#if塾 #eスポーツ #Y君 #成長ストーリー
12,プログラミング初心者マークから始まる,未経験からの,スタート,マインクラフトのシステムを開発する様子,今では塾の,システム全開発,周囲が驚く作品を次々と生み出す様子,天才的な,開発力誕生,未経験から天才開発者に！井上CTOの驚異的な成長物語です,#if塾 #CTO井上君 #未経験から天才 #開発力
13,心配そうな保護者の表情,子どもの教育,心配ですよね,専門スタッフが丁寧に相談に応じる様子,専門スタッフが,しっかりサポート,安心した保護者の笑顔,保護者も安心の,教育相談サービス,保護者の方々の心配事も専門スタッフがしっかりサポートします,#if塾 #保護者サポート #教育相談 #安心
14,オンライン授業の画面,全国どこでも,同じ品質,秋田でのオフラインイベントの様子,リアルな交流も,大切に,両方を組み合わせた理想の学習環境,オンライン×,オフライン,オンラインの便利さとオフラインの温かさを両立した理想の学習環境です,#if塾 #ハイブリッド学習 #オンライン #オフライン
15,社会課題を示すグラフ,日本が抱える,教育課題,if(塾)の生徒たちが活動する様子,若い力で,社会を変える,明るい未来を描く様子,課題解決に,挑む教育,不登校や地域格差などの社会課題に若い力で挑戦しています,#if塾 #社会課題解決 #若い力 #教育改革
16,生徒の作品が次々と映し出される,生徒たちの,素晴らしい作品,制作過程でのワクワクした表情,創造力×,技術力,完成作品を誇らしげに紹介する様子,若い才能が,花開く場所,生徒たちの素晴らしい作品をご紹介！創造力と技術力が融合した傑作です,#if塾 #生徒作品 #創造力 #技術力
17,企業オフィスでの打ち合わせ風景,実際の企業案件,にチャレンジ,生徒がプロジェクトに取り組む様子,本物のスキルを,実践で習得,成果物を発表する生徒の誇らしげな表情,学習と実践が,一体化,企業案件で本物のスキルを習得！学習と実践が一体化した画期的なシステムです,#if塾 #企業案件 #実践学習 #本物のスキル
18,ビジネスプランを作成する様子,将来は起業家に,なりたい,資金調達の相談をする場面,専門的な,起業サポート,実際に起業した生徒の成功事例,独立への道を,全面バックアップ,起業を目指すあなたを全面サポート！実践的なビジネススキルを身につけられます,#if塾 #起業支援 #ビジネススキル #独立サポート
19,NPOの活動風景,教育だけでなく,就労支援も,地域企業との連携場面,地域全体で,支え合い,温かいコミュニティの様子,温かい地域,コミュニティ,NPO法人if(AI)と連携した包括的サポート。地域と共に歩む温かい支援です,#if塾 #NPOif_AI #地域連携 #温かいサポート
20,AIが学習データを分析する様子,あなただけの,学習データ分析,個別最適化された学習プランの表示,AIが見つけた,あなたの弱点,効率的に成長する生徒の様子,学習効率,10倍アップ,AI先生があなたの学習を最適化！従来の10倍の効率で成長できます,#if塾 #AI学習最適化 #個別分析 #効率的成長
21,マインクラフトの楽しい世界,楽しいゲームが,学習ツールに,プログラミング概念を視覚的に学ぶ様子,遊びながら,本物のスキル習得,現実世界で活躍する元生徒,ゲーム×教育の,革命,ゲームを学習ツール化した革新的教育！遊びながら本物のスキルが身につきます,#if塾 #ゲーム教育 #マインクラフト #革新的学習
22,地方の美しい風景,地方にいても,都市部と同等,優秀な地方人材が活躍する様子,地域から,日本を変える,全国に向けて発信する様子,地方創生の,モデルケース,地方からICT教育を変革！地域創生のモデルケースを作り上げています,#if塾 #地方創生 #ICT人材育成 #地域から変革
23,仲間同士が励まし合う様子,一人じゃない,仲間がいる,メンターと生徒の信頼関係,信頼できる,メンターがいる,家族のような温かい雰囲気,第二の家族,温かいコミュニティ,if(塾)は第二の家族のような温かいコミュニティ。一人ひとりが大切にされています,#if塾 #温かいコミュニティ #仲間 #第二の家族
24,多様な進路の選択肢を示すイラスト,あなたの未来は,無限大,実践的スキルを身につける過程,在学中に,即戦力スキル習得,社会で活躍する卒業生,社会で活躍する,人材を育成,多様なキャリア形成を全面サポート！あなたの将来を一緒に描きましょう,#if塾 #キャリア形成 #多様な進路 #人材育成
25,Before Afterの比較画面,入塾前と,入塾後の変化,実際の成長事例を紹介,不登校から,自信回復,保護者からの感謝の声,確実な成長を,お約束,実際の成長事例をご紹介！if(塾)での学習がもたらす大きな変化をご覧ください,#if塾 #成長事例 #変化 #保護者の声
26,最新テクノロジーの映像,最新技術を,いち早く学習,AI、VR、IoTなどを活用する様子,未来に向けた,スキルを先取り,次世代を担う人材の姿,テクノロジー,最前線の教育,常に最新テクノロジーを学習に活用！未来に向けたスキルを先取りできます,#if塾 #最新技術 #先進教育 #未来スキル
27,お金を数える様子,スキルを,お金に変える,フリーランス案件に挑戦する様子,実際の案件で,報酬獲得,経済的自立を果たした様子,経済的自立への,第一歩,学習したスキルを実際にお金に変える体験！経済的自立への第一歩を踏み出せます,#if塾 #収益化体験 #経済的自立 #実践的学習
28,秋田県の風景とテクノロジーの融合,秋田県×,IT技術,地域プロジェクトに参加する様子,地域創生に,貢献,活性化された地域の様子,教育で地域を,元気にする,秋田県と連携した地域創生プロジェクト。教育を通じて地域全体を活性化しています,#if塾 #秋田県 #地域創生 #地域連携
29,世界地図が表示される,地方にいても,世界レベル,国際標準のスキルを学ぶ様子,グローバルな,視点を育成,世界で活躍する人材の姿,世界で通用する,人材を育成,地方からでもグローバルな視点を持った人材育成！世界で通用するスキルを身につけられます,#if塾 #グローバル人材 #国際標準 #世界レベル
30,継続的な成長を示すグラフ,卒業後も,ずっとサポート,長期的な関係を築く様子,一生の,パートナー,生涯学習を続ける様子,ライフタイム,サポートシステム,if(塾)は一時的な学習ではなく生涯のパートナー。継続的な成長をサポートします,#if塾 #継続サポート #ライフタイム #生涯学習
31,扉が開かれて光が差し込む,新しい人生の,扉を開こう,仲間と一緒に学ぶ楽しそうな様子,素晴らしい仲間と,出会える,夢に向かって歩む様子,if(塾)で,人生を変えよう,if(塾)であなたの人生を変えませんか？新しい可能性を一緒に発見しましょう！,#if塾 #人生を変える #新しい可能性 #仲間と成長
