表紙画像説明,表紙テキストエリア1,表紙テキストエリア2,内容1画像説明,内容1テキストエリア1,内容1テキストエリア2,内容2画像説明,内容2テキストエリア1,内容2テキストエリア2,内容3画像説明,内容3テキストエリア1,内容3テキストエリア2,投稿のテキスト+ハッシュタグ
"3Dモデリングを表すグラフィック、3D形状やワイヤーフレームのイラスト、立体的なデザイン要素、技術的で先進的な雰囲気","3D\nモデル","立体的に\n考える力","Tinkercadなどの初心者向け3Dモデリングツールの画面、シンプルな形状を組み合わせて3Dオブジェクトを作成している様子、グリッドと3Dビューポートが表示された画面","簡単な\nツール","初心者でも\n使いやすい\n3Dソフト","3Dモデルの編集画面、色やテクスチャが適用されたオブジェクト、回転・拡大・移動などの編集ツールが見えるインターフェース、制作過程の画面","デザイン\n中","色や形を\n自由に\n変更","完成した3Dモデルのレンダリング画像、綺麗にレンダリングされた3D作品、背景や照明が設定された完成作品、成果物としての3Dモデル","作品\n完成","自分の想像が\n3Dで\n形になる","3Dモデリングコースでは、立体的な作品を作ります。空間認識力と創造力を育てながら、自分の想像を形にする楽しさを体験できます。
#3Dモデリング
#空間認識
#創造力
#デザイン
#ものづくり
#if塾"
"ロボットプログラミングを表すグラフィック、ロボットやギアのイラスト、電子回路の図、技術的でSTEM教育らしい雰囲気","ロボット\nプログラ\nミング","実際に動く\nものを作る","micro:bitやArduinoのプログラミング画面、ブロックコードまたはテキストコードでロボットを制御するインターフェース、センサーやモーターの制御コード","コード\nで制御","センサーや\nモーターを\nプログラム","シミュレーター画面でのロボット動作テスト、仮想環境でロボットが動いている様子、センサー値やモーターの動きが視覚化された画面、デバッグ環境","シミュレ\nーション","動作を\nテスト\nできる","実際のロボットキットの写真、micro:bitやレゴロボットなどの教育用ロボット、実物の電子部品やセンサーが配置されている、オンラインでも実機体験が可能な教材","実機\n体験","実物の\nロボットも\n使える","ロボットプログラミングでは、実際に動くロボットを制御します。ハードウェアとソフトウェアの両方を学び、理論と実践を結びつける力が身につきます。
#ロボット
#プログラミング
#電子工作
#STEM教育
#実践学習
#if塾"
"無料体験を表すグラフィック、プレゼントボックスやチケットのイラスト、体験授業のイラスト、明るく歓迎的な雰囲気、親しみやすい配色とレイアウト","無料\n体験","まずは\n試してみよう","体験授業の案内画面、授業内容や日程が表示されたウェブページまたは案内資料、わかりやすいステップ表示、申し込みボタンが配置された画面","簡単\n申込","ウェブから\nすぐに\n申し込める","オンライン体験授業の画面、初めての生徒向けの優しい授業風景、Zoom画面で講師が丁寧に説明している様子、体験授業の雰囲気が伝わる画面構成","実際の\n授業","本物の授業を\n体験\nできる","保護者向けの説明資料画面、料金プランやカリキュラムが明示された資料、わかりやすい表やグラフ、透明性のある情報提示","納得\nしてから","詳しい説明を\n聞いてから\n決められる","if(塾)では無料体験授業を実施しています。実際の授業を体験して、お子様に合うかどうか確認してから始められます。
#無料体験
#オンライン授業
#授業体験
#入塾検討
#安心
#if塾"
"スケジュール管理を表すグラフィック、カレンダーや時計のアイコン、整理された印象のデザイン、ビジネスライクな配色","好きな\n時間に","柔軟な\nスケジュール","カレンダーアプリまたはスケジューリングツールの画面、授業の予約状況が表示されたカレンダービュー、空き時間が色分けされた見やすいインターフェース、予約管理画面","予約\nシステム","自分の都合に\n合わせて\n予約","オンライン授業の時間帯を示すグラフィック、朝・昼・夕方・夜などの時間帯アイコン、多様な時間選択肢を示すビジュアル、フレキシブルな時間設定","様々な\n時間帯","部活や習い事と\n両立\nできる","学習記録ダッシュボード画面、受講時間や進捗状況がグラフで表示されている、保護者も確認できる学習管理画面、データが視覚化されたインターフェース","進捗\n確認","学習状況を\nいつでも\n確認","オンラインだから、お子様のスケジュールに合わせて柔軟に学習できます。習い事や部活との両立も簡単で、最も集中できる時間を選べます。
#柔軟なスケジュール
#オンライン学習
#両立
#効率的学習
#進捗確認
#if塾"
"達成感を表すグラフィック、メダルやトロフィーのアイコン、ポジティブで励ましの雰囲気、金色やカラフルな配色","小さな\n目標","達成の\n喜びを実感","バッジやスタンプが並んだ達成記録画面、獲得したバッジが一覧表示されている、ゲーミフィケーション要素のある学習管理画面、モチベーションを高めるデザイン","達成\nバッジ","頑張りが\n見える\n仕組み","学習進捗グラフ、スキルツリーやレベルアップ表示、成長が視覚化されたダッシュボード、上昇するグラフやチャート、ポジティブなフィードバック表示","成長\nグラフ","上達が\nひと目で\nわかる","修了証明書のデジタル画像、コース修了を示す証明書デザイン、名前と日付が入った公式な証明書、達成を祝うビジュアル要素","修了\n証明","頑張った証が\n形に\n残る","if(塾)では、小さな達成を積み重ねることを大切にしています。スキルアップが見える化されることで、お子様の自信と学習意欲が育ちます。
#成長実感
#達成感
#自信
#学習意欲
#見える化
#if塾"
"個別指導を表すグラフィック、1対1を示すアイコン、パーソナライズされた印象のデザイン、温かみのある配色","レベル\n別指導","一人ひとりに\n最適な学び","レベル分けされたカリキュラム表、初級・中級・上級などのレベル表示、スキルマップやラーニングパス、段階的な学習プランの視覚化","段階的\n学習","基礎から\n応用まで\nステップアップ","個別カリキュラムの画面、生徒専用にカスタマイズされた学習プラン、個別の目標設定や進捗管理画面、パーソナライズされた学習管理","個別\nプラン","理解度に\n合わせた\nカリキュラム","AIレコメンド機能の画面、おすすめの学習コンテンツが表示されている、データに基づいた提案機能、スマートな学習支援システム","AI\nサポート","最適な課題を\n自動で\n提案","一人ひとりの理解度に合わせたレベル別指導で、確実にスキルアップできます。AIを活用した最適な課題提案で、効率的に学習を進められます。
#レベル別指導
#個別カリキュラム
#AI活用
#段階的学習
#確実な成長
#if塾"
"デジタルアートを表すグラフィック、絵筆とデジタルツールのイラスト、カラフルなアート作品、アーティスティックな雰囲気","デジタル\nアート","表現力を\n育てる","ピクセルアートエディタの画面、ドット絵を作成するツールインターフェース、カラフルなピクセルアート作品、グリッドとカラーパレットが表示された画面","ピクセル\nアート","ドット絵で\nキャラクター\n制作","デジタルイラストツールの画面、Pixilartなどのオンライン描画ツール、レイヤーやブラシツールが見えるインターフェース、子ども向けの使いやすいデザインツール","描画\nツール","デジタルで\n自由に\n描ける","作成したピクセルアート作品のギャラリー画面、複数の完成作品が並んでいる、キャラクターや背景などの多様な作品、クリエイティブな成果物","作品\nギャラリ\nー","自分の作品を\n展示\nできる","デジタルアートコースでは、プログラミングとアート制作を融合させます。技術力と表現力の両方を育て、お子様の個性を活かした創造活動ができます。
#デジタルアート
#表現力
#創造性
#プログラミング
#個性
#if塾"
"Web開発を表すグラフィック、ブラウザウィンドウとHTMLコードのイラスト、プロフェッショナルで技術的な雰囲気","Web\n開発","実用的な\nスキル習得","HTMLコードエディタの画面、カラフルな構文ハイライト表示、基本的なHTMLタグが記述されたコード、初心者向けのシンプルなコード例","HTML\nCSS","ウェブの\n基礎を\n学ぶ","ウェブサイトのプレビュー画面、作成中のウェブページがブラウザに表示されている、シンプルで見やすいウェブデザイン、実際に動作するページ","ページ\n制作","自分の\nサイトを\n作る","レスポンシブデザインの比較画面、PC・タブレット・スマホでの表示の違い、複数デバイスでの表示確認、モダンなウェブデザインの例","レスポン\nシブ","色々な\n画面サイズに\n対応","Web開発コースでは、実際に公開できるウェブサイトを作ります。デザインとコーディングの両方を学び、将来に活かせる実践的なスキルが身につきます。
#Web開発
#HTML
#CSS
#実践的スキル
#ポートフォリオ
#if塾"
"データを表すグラフィック、グラフやチャートのイラスト、分析的でインテリジェントな雰囲気、青と緑の配色","データ\nサイエンス","数字から\n学ぶ力","Excelやスプレッドシートのデータ表、整理されたデータテーブル、数値やカテゴリが並んだ表形式、データ入力と整理の画面","データ\n整理","情報を\n整理する\n方法を学ぶ","グラフ作成ツールの画面、棒グラフや円グラフが表示されている、カラフルで見やすいデータビジュアライゼーション、グラフ作成インターフェース","グラフ\n作成","データを\n視覚化\nする","データ分析結果のダッシュボード、複数のグラフやチャートが配置された分析画面、インサイトが得られる統計表示、分析結果の視覚化","分析\n結果","データから\n傾向を\n読み取る","データサイエンスコースでは、データ分析の基礎を学びます。身近なデータを使って実践的に学ぶことで、論理的思考と分析力が自然に身につきます。
#データサイエンス
#データ分析
#論理的思考
#分析力
#実践学習
#if塾"
"料金プランを表すグラフィック、価格表のイラスト、信頼感と透明性を示すデザイン、シンプルでわかりやすいレイアウト","明確な\n料金","安心して\n始められる","料金表の画面、コース別の料金プランが一覧表示されている、わかりやすい表形式、含まれる内容が明記された料金表","わかり\nやすい","追加費用\nなしの\n明確な価格","料金シミュレーター画面、月額料金や年間費用が計算できるツール、スライダーやドロップダウンで選択できる料金計算機、視覚的にわかりやすい料金提示","料金\n計算","実際の費用を\nすぐに\n確認","支払い方法の案内画面、クレジットカードや銀行振込などの支払いオプション、安全な決済システムの説明、セキュアな支払いプロセス","簡単\n決済","オンラインで\n安全に\n支払い","if(塾)の料金体系は明確でわかりやすく設定されています。コース別の料金で、必要な学習内容を選んで始められます。追加費用の心配もありません。
#料金
#明確な価格
#安心
#コース選択
#オンライン入会
#if塾"
"インクルーシブ教育を表すグラフィック、多様な人々を示すアイコン、温かく歓迎的な雰囲気、カラフルで明るい配色","全ての\n子に","年齢や\nレベル問わず","年齢別・レベル別コース一覧の画面、幅広い対象年齢とレベルが表示された案内、誰でも始められることを示す情報、多様な選択肢","誰でも\n始められる","初心者から\n経験者まで\n大歓迎","アクセシビリティ機能の説明画面、字幕機能や画面読み上げ機能などの支援機能、インクルーシブな学習環境を示す情報、配慮が行き届いた機能紹介","配慮\nある環境","必要な\nサポートを\n提供","多様な学習スタイルを示すグラフィック、ビジュアル学習・実践学習など様々な学習方法、個性に合わせた学び方の提案、柔軟な学習アプローチ","個性\n尊重","それぞれの\n学び方を\n大切に","if(塾)は、すべての子どもたちに開かれた学びの場です。初心者から上級者まで、それぞれのペースで成長できる環境を提供しています。
#すべての子どもに
#初心者歓迎
#多様性
#個性尊重
#inclusive教育
#if塾"
"Pythonプログラミングを表すグラフィック、Pythonロゴとコード、プロフェッショナルで技術的な雰囲気","Python\nプログラ\nミング","実用的な\n言語を学ぶ","PythonのIDEまたはオンラインエディタの画面、Pythonコードが記述されたエディタ、構文ハイライト表示、ReplitやGoogle Colabなどの学習環境","Python\nコード","プロが使う\n言語を\n学ぶ","Pythonのコンソール出力画面、プログラムの実行結果が表示されている、printの出力やグラフ表示、実際に動作している様子","実行\n結果","コードが\n実際に\n動く","Pythonで作成した簡単なゲームやツールの画面、完成したPythonプロジェクト、実用的なプログラムの例、成果物としてのアプリケーション","作品\n完成","実用的な\nプログラムを\n作成","Pythonプログラミングコースでは、実用的なプログラミング言語を基礎から学びます。実際に動くプログラムを作りながら、本格的なコーディングスキルを習得できます。
#Python
#プログラミング言語
#コーディング
#実用的スキル
#本格的学習
#if塾"
"ポートフォリオを表すグラフィック、作品集やギャラリーのイラスト、プロフェッショナルで整理された印象","作品\nポート\nフォリオ","学びの\n成果を形に","ポートフォリオウェブサイトのトップページ、作品サムネイルが並んだギャラリーレイアウト、プロフェッショナルなポートフォリオデザイン、作品一覧ページ","作品\n一覧","これまでの\n作品を\n展示","作品詳細ページの画面、プロジェクトの説明や使用技術が記載されている、スクリーンショットやデモ動画、詳細な作品紹介ページ","詳細\n説明","制作過程や\n工夫を\n説明","GitHubプロフィールページまたはポートフォリオサイトのURL、公開された作品ページ、シェア可能なポートフォリオリンク、オンラインで公開された成果物","公開\nURL","誰にでも\n見せられる\n形に","if(塾)では、作品ポートフォリオ作成をサポートしています。学習の成果を形にすることで、自信がつき、将来の進路でも活用できる資産になります。
#ポートフォリオ
#作品集
#成果の見える化
#将来への資産
#自信
#if塾"
"イベントを表すグラフィック、トロフィーや参加証のイラスト、エキサイティングで楽しい雰囲気、カラフルで活気のある配色","イベント\n参加","特別な\n体験機会","オンラインハッカソンの告知画面、イベントバナーや日程情報、参加募集の案内デザイン、魅力的なイベント告知","ハッカソ\nン開催","限られた時間で\n作品を\n作る挑戦","イベント参加中のZoom画面、複数の参加者が画面共有している様子、タイマーが表示されている、熱気が伝わるイベント画面","制作\n中","仲間と\n競い合う\n刺激","イベント成果発表の画面、完成作品のプレゼンテーション資料、順位やフィードバックが表示されている、達成を祝う雰囲気","発表\nの場","作品を\n披露する\n機会","if(塾)では、ハッカソンやコンテストなどの特別イベントに参加できます。仲間と協力して挑戦する貴重な経験が、大きな成長につながります。
#イベント
#ハッカソン
#チャレンジ
#特別体験
#成長機会
#if塾"
"学習環境を表すグラフィック、デスクとパソコンのイラスト、整理された落ち着いた雰囲気、シンプルで清潔感のある配色","学習\n環境","快適な\n学習空間","推奨環境の案内画面、必要な機器やインターネット速度の説明、セットアップガイド、わかりやすい環境要件の提示","推奨\n環境","必要な\n機器を\nご案内","Zoom画面の設定チュートリアル、カメラやマイクのテスト画面、音声・映像確認の手順、技術的なサポート情報","接続\nテスト","事前に\n動作確認\nできる","学習に集中できる環境づくりのインフォグラフィック、照明・座り方・休憩などのアドバイス、快適な学習環境のヒント、保護者向けガイド","環境\nづくり","集中できる\n空間を\n整える","オンライン学習を成功させるには、学習環境が大切です。if(塾)では、ご自宅での最適な学習環境作りもサポートします。
#学習環境
#オンライン学習
#集中力
#環境作り
#保護者サポート
#if塾"
"問題解決を表すグラフィック、パズルのピースや電球のイラスト、論理的で学習的な雰囲気、青とオレンジの配色","エラー\n解決","つまずきを\n乗り越える","エラーメッセージが表示されたコード画面、赤いエラーハイライト表示、デバッグの必要性を示す画面、学習の一部としてのエラー","エラー\nが出た","間違いから\n学ぶ\nチャンス","デバッグツールの画面、ブレークポイントやステップ実行機能、変数の値を確認できるデバッガー、問題解決のプロセス","デバッグ\nツール","原因を\n見つける\n方法","修正後の動作成功画面、エラーが解消されて正常動作している、グリーンのチェックマーク、成功メッセージ、達成感が伝わる画面","解決!\n成功","自分で\n問題を\n解決した喜び","プログラミングでは、エラー解決が重要な学びです。if(塾)では、エラーを恐れず、論理的に問題を解決する力を育てます。
#エラー解決
#デバッグ
#問題解決力
#論理的思考
#成長機会
#if塾"
"STEM教育を表すグラフィック、科学・技術・工学・数学の要素アイコン、学術的で先進的な雰囲気、マルチカラーの配色","STEM\n教育","科学・技術・\n工学・数学","STEM要素を統合したプロジェクト画面、データとコードが組み合わさった学習環境、数学的な計算とプログラミングの融合、統合的な学習内容","教科\n横断","複数の\n分野を\n組み合わせる","科学実験のシミュレーションソフト画面、物理や化学の実験をデジタルで再現、データグラフと実験結果、ビジュアル化された科学学習","実験\nシミュレ\nーション","仮想環境で\n実験\nできる","数学とプログラミングを組み合わせたプロジェクト、幾何学模様やフラクタル図形の生成コード、アルゴリズムとビジュアルの融合、美しい数学的作品","数学×\nコード","数学を\nプログラムで\n表現","if(塾)のSTEM教育では、科学・技術・工学・数学を統合的に学びます。教科を超えた学びで、実社会で活きる総合的な力を育てます。
#STEM教育
#統合学習
#21世紀型スキル
#実社会
#総合力
#if塾"
"デジタルリテラシーを表すグラフィック、盾やセキュリティのアイコン、信頼と安全を示す雰囲気、青と緑の配色","デジタル\nリテラシ\nー","安全に\nネットを使う","インターネット安全教育の教材画面、パスワード管理やプライバシー設定の説明、イラスト付きのわかりやすい安全ガイド、子ども向け教育コンテンツ","安全\nルール","ネットの\n危険から\n身を守る","フィッシング詐欺やスパムメールの見分け方の教材、危険な例と安全な例の比較、クイズ形式の学習コンテンツ、インタラクティブな教育教材","見分ける\n力","怪しい\nサイトを\n判断","著作権や情報モラルの説明画面、引用ルールや他者への配慮について、マナーとモラルのガイドライン、倫理的なネット利用の教育","情報\nモラル","正しい\n使い方を\n学ぶ","デジタルリテラシー教育も重視しています。安全なインターネット利用と情報モラルを学び、デジタル社会で責任ある行動ができる力を育てます。
#デジタルリテラシー
#ネット安全
#情報モラル
#デジタル市民
#安全教育
#if塾"
"振り返りを表すグラフィック、ノートや鉛筆のイラスト、落ち着いた学習的な雰囲気、緑と青の配色","振り返り\nの時間","学びを\n定着させる","学習記録ノートの画面、デジタルノートやジャーナルアプリ、今日学んだことをまとめる欄、振り返りフォーマット","学習\nノート","今日学んだ\nことを\n記録","振り返りシートのテンプレート、「わかったこと」「難しかったこと」「次の目標」などの項目、構造化された振り返り支援ツール","振り返り\nシート","自分の\n理解度を\n確認","学習履歴のタイムライン表示、過去の学習内容が時系列で表示されている、成長の軌跡が見えるダッシュボード、学習の積み重ねの視覚化","成長\nの記録","過去の自分と\n比べて\n成長実感","if(塾)では、定期的な振り返りの時間を大切にしています。学んだことを言語化し、自己理解を深めることで、より効果的な学習につながります。
#振り返り
#メタ認知
#学習記録
#自己理解
#効果的学習
#if塾"
