id,表紙画像説明,表紙テキストエリア1,表紙テキストエリア2,内容1画像説明,内容1テキストエリア1,内容1テキストエリア2,内容2画像説明,内容2テキストエリア1,内容2テキストエリア2,内容3画像説明,内容3テキストエリア1,内容3テキストエリア2,投稿のテキスト,ハッシュタグ
19,サステナブルな取り組みを示す画像,環境への\n取り組み,サステナブルな\nカフェへ,リユースカップとエコバッグ,マイカップ\n割引,マイカップ\nお持ちの方は\n50円引き\nさせていただきます,コンポスト可能な容器とストロー,環境に優しい\n素材,紙ストロー・\n生分解性容器を\n使用,コーヒー豆のかすを堆肥にする様子,コーヒー豆\nかすリサイクル,コーヒー豆の\nかすは堆肥\nとして地域に\n還元,"環境に配慮したサステナブルなカフェを目指しています。マイカップ割引、紙ストロー使用、コーヒー豆かすのリサイクルなど、できることから始めています。","#サステナブル #エコ #環境配慮 #マイカップ #SDGs #エコカフェ #地球に優しい"
20,オンラインショップのイメージ画像,オンラインショップ\nオープン,全国へお届け\nします,オンラインショップのトップページ,ネット通販\n開始,コーヒー豆や\nグッズを全国\nどこからでも\n購入可能,梱包された配送ボックスと商品,丁寧な\n梱包,新鮮な状態で\nお届けできるよう\n丁寧に梱包,自宅でコーヒーを楽しむ満足げな様子,ご自宅で\n本格コーヒー,遠方の方も\n当店の味を\nご自宅で\nお楽しみ,"オンラインショップをオープンしました！自家焙煎コーヒー豆やオリジナルグッズを全国へお届けします。遠方の方もぜひご利用ください！","#オンラインショップ #通販 #ネットショップ #全国配送 #コーヒー豆通販 #お取り寄せ #通販開始"
21,バリスタのスキルアップの様子,バリスタ\nコンテスト出場,技術向上に\n挑戦中,ラテアートコンテストでの作品,ラテアート\nコンテスト,来月開催の\nコンテストに\nエントリー\nしました,練習に励むバリスタの真剣な表情,毎日\n練習中,最高の\nパフォーマンスを\nお見せできるよう\n特訓,応援メッセージボードとサポーター,応援\nお願いします,皆様の応援が\n力になります\nぜひ応援を\nお願いします,"当店のバリスタが来月のラテアートコンテストに出場します！毎日練習を重ねて技術を磨いています。皆様の応援をよろしくお願いします！","#バリスタ #コンテスト #ラテアートコンテスト #挑戦 #スキルアップ #応援 #頑張ります"
22,コーヒーの淹れ方講座の様子,コーヒー\n淹れ方講座,自宅で美味しく\n淹れるコツ,ドリップコーヒーの淹れ方を学ぶ参加者,ドリップ\nコーヒー講座,基本の\nハンドドリップを\nマスター\nできます,豆の選び方と保存方法の説明,豆の選び方も\nレクチャー,豆の種類や\n保存方法など\n基礎知識も\n学べる,美味しいコーヒーを淹れて満足げな参加者,月1回\n開催中,毎月第2日曜\n10時から\n予約制で\n開催,"自宅で美味しいコーヒーを淹れるコツを学べる講座を開催中！豆の選び方から淹れ方まで丁寧に指導します。次回は第2日曜10時から。ご予約受付中！","#コーヒー講座 #淹れ方教室 #ドリップコーヒー #ワークショップ #コーヒー教室 #ハンドドリップ #予約制"
23,SNSフォローキャンペーンのお知らせ,SNSフォロー\nキャンペーン,お得な特典\nプレゼント,InstagramとTwitterのアカウント情報,SNSで\n最新情報,日々の\nメニューや\nイベント情報を\n発信中,フォロー&投稿でドリンク割引のクーポン,フォロー\n特典,フォロー&\n店内写真投稿で\n次回使える\n50円引き,SNSに投稿された素敵な写真たち,素敵な\n投稿ばかり,たくさんの\n素敵な投稿\nありがとう\nございます,"SNSフォローキャンペーン実施中！Instagramをフォロー&店内写真を投稿していただくと、次回使える50円引きクーポンをプレゼント！","#SNSキャンペーン #フォロー特典 #Instagram #クーポン #割引 #お得情報 #フォローしてね"
24,地元農家とのコラボ商品,地元農家\nコラボ企画,地産地消を\n応援,地元農家で収穫された野菜の写真,地元野菜\n使用,近隣の農家さん\nから仕入れた\n新鮮野菜を\n使用,野菜たっぷりのサンドイッチやサラダ,野菜たっぷり\nメニュー,地元の\n新鮮野菜を\nふんだんに\n使った料理,農家さんとスタッフの笑顔の集合写真,生産者の\n顔が見える,安心安全な\n食材を提供\nできる喜び,"地元農家さんとのコラボ企画スタート！近隣農家から仕入れた新鮮野菜をたっぷり使ったメニューをご用意。地産地消で地域を応援します。","#地産地消 #地元野菜 #農家コラボ #新鮮野菜 #地域応援 #顔の見える野菜 #サステナブル"
25,クリスマスの装飾とメニュー,クリスマス\n限定メニュー,特別な季節を\nお祝い,クリスマス装飾された店内の様子,店内\nデコレーション,クリスマス\nムード満点の\n装飾で\nお迎え,クリスマス限定ケーキとドリンク,限定\nメニュー,クリスマス\nケーキとホット\nワインを\nご用意,クリスマスを楽しむカップル客,予約\n受付中,クリスマス\nディナーの\nご予約も\n承ります,"クリスマス限定メニューが登場！店内もクリスマスデコレーションで華やかに。特別なケーキとホットワインで素敵なクリスマスをお過ごしください。","#クリスマス #限定メニュー #クリスマスケーキ #ホットワイン #季節限定 #特別な日 #クリスマスカフェ"
26,お客様の声と感謝のメッセージ,お客様の声\nご紹介,いつも\nありがとうございます,お客様アンケートと嬉しいコメント,お客様\nアンケート,たくさんの\n嬉しいお声を\nいただいて\nいます,5つ星レビューと感謝のコメント,高評価\n感謝,居心地が良い・\nコーヒーが美味\nなどの声,スタッフ全員の感謝の笑顔,これからも\n精進します,皆様の期待に\n応えられるよう\n日々努力\nします,"たくさんのお客様から嬉しいお声をいただいています。「居心地が良い」「コーヒーが美味しい」などの声を励みに、これからもより良いお店作りに努めます。","#お客様の声 #感謝 #レビュー #ありがとう #口コミ #評判 #お客様感謝"
27,年末年始の営業案内,年末年始\n営業案内,特別営業時間の\nお知らせ,カレンダーと営業日の表示,年末は\n12月30日まで,大晦日は\nお休み\nさせて\nいただきます,初売りのイベント告知,新年は\n1月2日から,初売りセールと\n福袋販売を\n予定,年末年始の挨拶メッセージ,1年間\nありがとう,今年も\nたくさんのご来店\nありがとう\nございました,"年末年始の営業時間をお知らせします。年内は12月30日まで、新年は1月2日から営業。初売りセールと福袋もご用意してお待ちしております！","#年末年始 #営業案内 #初売り #福袋 #年末 #新年 #営業時間"
28,スタッフおすすめメニュー紹介,スタッフ\nおすすめ,今月の\nイチオシ,バリスタがおすすめメニューを紹介,バリスタ\n一押し,今月は\nキャラメルラテが\n断然\nおすすめ,パティシエおすすめのケーキ,パティシエ\nイチオシ,チーズケーキと\nの相性が\n最高です,おすすめの組み合わせで楽しむ客,ぜひ\nお試しを,この組み合わせ\nをぜひ\nお楽しみ\nください,"スタッフが自信を持っておすすめする今月のイチオシは、キャラメルラテ×チーズケーキの組み合わせ！最高のマリアージュをぜひお試しください。","#おすすめメニュー #スタッフおすすめ #イチオシ #今月のおすすめ #ベストマッチ #おすすめ #カフェメニュー"
29,常連客インタビュー企画,常連さん\nインタビュー,お客様の声を\nご紹介,常連客の笑顔のポートレート,週3回\n通う常連様,3年間\n通い続けて\nくださる\nお客様,常連客がお気に入りメニューを語る,お気に入りは\nモーニング,「モーニングが\n最高です」と\n嬉しいお言葉,常連客とスタッフの温かい交流,お店の\n魅力は,「スタッフの\n笑顔と温かさ」\nと語って\nくださいました,"3年間通ってくださっている常連のお客様にインタビュー！「モーニングが最高」「スタッフの笑顔が素敵」など嬉しいお言葉をいただきました。","#常連さん #お客様インタビュー #常連客 #お客様の声 #感謝 #3周年 #温かい交流"
30,来月の予告とワクワク感,来月の予告\n新企画準備中,お楽しみに\nお待ちください,新しいメニュー開発の様子,新メニュー\n開発中,新しい\nドリンクメニューを\n試作中です,イベント企画の打ち合わせ風景,特別\nイベント企画,来月は\n特別イベントを\n予定\nしています,ワクワクするような予告画像,詳細は\n近日発表,詳しい内容は\n来週発表\n予定です\nお楽しみに,"来月に向けて新しい企画を準備中です！新メニューの開発や特別イベントの企画など、ワクワクする内容を用意しています。詳細は来週発表予定！","#新企画 #予告 #新メニュー #イベント予告 #お楽しみに #coming soon #準備中"
31,1ヶ月の感謝とまとめ,今月も\nありがとう,たくさんの\n出会いに感謝,1ヶ月間の様々な出来事のコラージュ,今月の\nハイライト,新メニュー・\nイベント・\n出会いなど\n盛りだくさん,笑顔のお客様とスタッフの集合写真,たくさんの\n笑顔,たくさんの\n笑顔に\n出会えて\n幸せでした,来月への期待を込めたメッセージ,来月も\nよろしく,来月も\n素敵な出会いと\n美味しいコーヒーを\nお届けします,"今月もたくさんのご来店ありがとうございました！新メニュー、イベント、たくさんの笑顔に出会えた1ヶ月でした。来月もよろしくお願いします！","#今月のまとめ #感謝 #ありがとう #1ヶ月 #来月もよろしく #月末 #カフェ日記"
32,次月の新企画発表,来月の\n新企画発表,さらに充実した\nサービスを,新しいサブスクリプションサービスの案内,サブスク\nサービス,月額制の\nお得なサブスク\nプランを\nスタート,ポイント2倍デーの告知,ポイント\n2倍デー,毎週水曜日は\nポイントが\n2倍に\nなります,新しいコラボ企画のティザー,コラボ\n企画,人気パン屋\nさんとの\nコラボ企画も\n始動,"来月から新サービスがスタート！月額制のお得なサブスクプランと、毎週水曜ポイント2倍デー。さらに人気パン屋さんとのコラボも！","#新サービス #サブスク #ポイント2倍 #コラボ企画 #新企画 #お得 #coming soon"
33,最終投稿とコミュニティへの呼びかけ,カフェ\nコミュニティ,一緒に作る\n居心地の良い場所,カフェに集う様々な人々の笑顔,みんなで\n作るカフェ,お客様一人\nひとりが作る\n温かい\nコミュニティ,イベントに参加する楽しそうな人々,イベントで\n繋がる,定期イベントで\n新しい出会いと\n交流が\n生まれる,カフェの未来を語り合う様子,これからも\n一緒に,皆様と一緒に\nより良いカフェを\n作っていきたい,"当店は皆様と一緒に作る温かいコミュニティです。これからも定期イベントや新企画で、素敵な出会いと交流の場を提供していきます。一緒に素敵なカフェを作りましょう！","#カフェコミュニティ #みんなで作る #居心地の良い場所 #交流 #コミュニティ #繋がり #素敵な出会い"
